molecule_chembl_id,canonical_smiles,standard_value
CHEMBL199572,CN(C(=O)c1ccc(-c2ccccc2)cc1)c1ccccc1C(=O)O,42600.0
CHEMBL199574,O=C(Nc1ccccc1C(=O)O)c1ccc2cc(Br)ccc2c1,142600.0
CHEMBL372561,CN(C(=O)c1ccc2cc(Br)ccc2c1)c1ccccc1C(=O)O,93400.0
CHEMBL370865,O=C(Nc1ccccc1C(=O)O)c1ccc(-c2ccccc2)cc1,153500.0
CHEMBL199575,CN(C(=O)c1ccc2ccccc2c1)c1ccccc1C(=O)O,200000.0
CHEMBL200536,O=C(Nc1ccccc1C(=O)O)c1ccc2ccccc2c1,200000.0
CHEMBL218467,CCOC(=O)C(=CNc1ccc2sc3ccccc3c2c1)C(=O)OCC,160.0
CHEMBL973,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,190100.0
CHEMBL217893,Cc1c(C(=O)Nc2cc(Cl)cc(Cl)c2)cccc1[N+](=O)[O-],230.0
CHEMBL217951,Cc1cc(Br)ccc1NC(=O)c1ccc2ccccc2c1,180.0
CHEMBL217897,CCOC(=O)C(=CNc1cccc(-c2ccccc2)c1)C(=O)OCC,86700.0
CHEMBL387254,CCOC(=O)/C(C#N)=C\Nc1cccc(-c2ccccc2)c1,21300.0
CHEMBL373493,CCOC(=O)C(=CNc1ccc(-c2ccccc2)cc1)C(=O)OCC,500000.0
CHEMBL374338,CCOC(=O)/C(C#N)=C\Nc1ccc(-c2ccccc2)cc1,500000.0
CHEMBL219855,CCOC(=O)C(=CNc1ccc2[nH]cnc2c1)C(=O)OCC,349100.0
CHEMBL413583,CCOC(=O)C(=CNc1ccccc1C)C(=O)OCC,345600.0
CHEMBL219856,CCOC(=O)C(=CNc1ccc(C)cc1)C(=O)OCC,40000.0
CHEMBL435137,CCOC(=O)C(=CNc1ccc2[nH]ncc2c1)C(=O)OCC,27780.0
CHEMBL218703,CCOC(=O)/C(C#N)=C\Nc1ccc2c(c1)c1ccccc1n2CC,440.0
CHEMBL454269,Cc1cc(Nc2ccccc2Cl)n2ncnc2n1,100000.0
CHEMBL473816,Cc1cc(Nc2ccccc2C)n2ncnc2n1,100000.0
CHEMBL475663,Cc1cc(Nc2ccccc2C(F)(F)F)n2ncnc2n1,100000.0
CHEMBL452667,Cc1cc(Nc2ccccc2C#N)n2ncnc2n1,100000.0
CHEMBL514038,Cc1cc(Nc2cccc(F)c2)n2ncnc2n1,9200.0
