,molecule_chembl_id,canonical_smiles,class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,CHEMBL199572,CN(C(=O)c1ccc(-c2ccccc2)cc1)c1ccccc1C(=O)O,inactive,331.3710000000001,4.328400000000004,1.0,2.0,4.370590400897281
1,CHEMBL199574,O=C(Nc1ccccc1C(=O)O)c1ccc2cc(Br)ccc2c1,inactive,370.202,4.552800000000002,2.0,2.0,3.845880474484153
2,CHEMBL372561,CN(C(=O)c1ccc2cc(Br)ccc2c1)c1ccccc1C(=O)O,inactive,384.2290000000001,4.577100000000003,1.0,2.0,4.029653123769907
3,CHEMBL370865,O=C(Nc1ccccc1C(=O)O)c1ccc(-c2ccccc2)cc1,inactive,317.344,4.304100000000002,2.0,2.0,3.8138916201867947
4,CHEMBL199575,CN(C(=O)c1ccc2ccccc2c1)c1ccccc1C(=O)O,inactive,305.3330000000001,3.814600000000002,1.0,2.0,3.6989700043360187
5,CHEMBL200536,O=C(Nc1ccccc1C(=O)O)c1ccc2ccccc2c1,inactive,291.306,3.790300000000002,2.0,2.0,3.6989700043360187
6,CHEMBL218467,CCOC(=O)C(=CNc1ccc2sc3ccccc3c2c1)C(=O)OCC,active,369.4420000000002,4.476500000000003,1.0,6.0,6.795880017344075
7,CHEMBL973,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,inactive,270.21,2.99948,2.0,3.0,3.721017883134557
8,CHEMBL217893,Cc1c(C(=O)Nc2cc(Cl)cc(Cl)c2)cccc1[N+](=O)[O-],active,325.15100000000007,4.462320000000003,1.0,3.0,6.638272163982407
9,CHEMBL217951,Cc1cc(Br)ccc1NC(=O)c1ccc2ccccc2c1,active,340.2200000000001,5.163020000000003,1.0,1.0,6.7447274948966935
10,CHEMBL217897,CCOC(=O)C(=CNc1cccc(-c2ccccc2)c1)C(=O)OCC,inactive,339.39100000000013,3.7756000000000025,1.0,5.0,4.06198090252379
11,CHEMBL387254,CCOC(=O)/C(C#N)=C\Nc1cccc(-c2ccccc2)c1,inactive,292.338,3.736080000000002,1.0,4.0,4.671620396561262
12,CHEMBL373493,CCOC(=O)C(=CNc1ccc(-c2ccccc2)cc1)C(=O)OCC,inactive,339.39100000000013,3.7756000000000025,1.0,5.0,3.3010299956639813
13,CHEMBL374338,CCOC(=O)/C(C#N)=C\Nc1ccc(-c2ccccc2)cc1,inactive,292.338,3.736080000000002,1.0,4.0,3.3010299956639813
14,CHEMBL219855,CCOC(=O)C(=CNc1ccc2[nH]cnc2c1)C(=O)OCC,inactive,303.3180000000001,1.9848999999999999,2.0,6.0,3.457050151185821
15,CHEMBL413583,CCOC(=O)C(=CNc1ccccc1C)C(=O)OCC,inactive,277.32000000000005,2.417020000000001,1.0,5.0,3.4614262661931443
16,CHEMBL219856,CCOC(=O)C(=CNc1ccc(C)cc1)C(=O)OCC,inactive,277.32000000000005,2.417020000000001,1.0,5.0,4.3979400086720375
17,CHEMBL435137,CCOC(=O)C(=CNc1ccc2[nH]ncc2c1)C(=O)OCC,inactive,303.3180000000001,1.9848999999999999,2.0,6.0,4.556267758598403
18,CHEMBL218703,CCOC(=O)/C(C#N)=C\Nc1ccc2c(c1)c1ccccc1n2CC,active,333.3910000000001,4.196880000000003,1.0,5.0,6.356547323513812
19,CHEMBL454269,Cc1cc(Nc2ccccc2Cl)n2ncnc2n1,inactive,259.7,2.82972,1.0,5.0,4.0
20,CHEMBL473816,Cc1cc(Nc2ccccc2C)n2ncnc2n1,inactive,239.282,2.4847399999999995,1.0,5.0,4.0
21,CHEMBL475663,Cc1cc(Nc2ccccc2C(F)(F)F)n2ncnc2n1,inactive,293.252,3.195120000000001,1.0,5.0,4.0
22,CHEMBL452667,Cc1cc(Nc2ccccc2C#N)n2ncnc2n1,inactive,250.26500000000001,2.047999999999999,1.0,6.0,4.0
23,CHEMBL514038,Cc1cc(Nc2cccc(F)c2)n2ncnc2n1,intermediate,243.245,2.3154199999999996,1.0,5.0,5.036212172654444
24,CHEMBL499296,Cc1cc(Nc2cccc(Cl)c2)n2ncnc2n1,intermediate,259.7,2.82972,1.0,5.0,5.853871964321762
25,CHEMBL475664,Cc1cccc(Nc2cc(C)nc3ncnn23)c1,intermediate,239.282,2.4847399999999995,1.0,5.0,5.309803919971486
26,CHEMBL474842,Cc1cc(Nc2cccc(C(F)(F)F)c2)n2ncnc2n1,inactive,293.252,3.195120000000001,1.0,5.0,4.853871964321762
27,CHEMBL474004,Cc1cc(Nc2ccc(F)cc2)n2ncnc2n1,inactive,243.245,2.3154199999999996,1.0,5.0,4.721246399047171
28,CHEMBL452465,Cc1cc(Nc2ccc(Cl)cc2)n2ncnc2n1,intermediate,259.7,2.829720000000001,1.0,5.0,5.795880017344075
29,CHEMBL492520,Cc1cc(Nc2ccc(Br)cc2)n2ncnc2n1,active,304.151,2.9388200000000007,1.0,5.0,6.107905397309519
30,CHEMBL492528,Cc1ccc(Nc2cc(C)nc3ncnn23)cc1,intermediate,239.28200000000004,2.4847400000000004,1.0,5.0,5.376750709602099
31,CHEMBL492529,Cc1cc(Nc2ccc(C(F)(F)F)cc2)n2ncnc2n1,active,293.252,3.195120000000001,1.0,5.0,6.552841968657781
32,CHEMBL523669,COc1ccc(Nc2cc(C)nc3ncnn23)cc1,intermediate,255.281,2.18492,1.0,6.0,5.337242168318426
